Invoice No.,Item Name
19305,"['Madagascar Hot Chocolate (250 ML)', 'Iced Americano (350 ML)', 'Cold Brew']"
19306,"['Baked Vada Pav', 'Baked Pav Bhaji', 'Americano (250 ML)', 'Papparoti (Add On Nutella sauce)', 'Cafe Mocha (250 ML)', 'Calzones Veg (Calzone Paneer)', 'Spicy Banana Chips 60 Gm']"
19307,['Iced Americano (350 ML)']
19308,"['Madagascar Chocochip Frappe (350 ML)', 'Sea Salt Dark Mocha Frappe (350 ML)', 'Americano (250 ML)']"
19309,"['Sea Salt Dark Mocha (250 ML)', 'Madagascar Chocochip Frappe (350 ML)', 'Vanilla Praline (350 ML)', 'Iced Mocha (350 ML)']"
19310,"['Hazelnut Frappe (350 ML)', 'Baked Pav Bhaji']"
19311,"['Origanal South Indian Frappe (350 ML)', 'Iced Latte (350 ML)']"
19312,['Baked Vada Pav']
19313,"['Berliner Mix 3 Pcs (Dark Choco Mousse Berliner)', 'Berliner Mix 3 Pcs (Lotus Biscoff Berliner)', 'Berliner Mix 3 Pcs (Nutella Berliner)', 'Choco-crinkle-cookies (COMBO 3 PCS)', 'Baked Vada Pav', 'Calzones Veg (Calzone Paneer)', 'Papparoti (Plain)']"
19314,['Iced Latte (350 ML)']
19315,['Classic Frappe (350 ML)']
19316,['Classic Frappe (350 ML)']
19317,['Berliners (Lotus Biscoff Berliner)']
19318,"['Hazelnut Frappe (350 ML)', 'Iced Latte (450 ML)', 'Add On Syrup (Add On hazelnuts Syrup)']"
19319,"['Kaapicino (250 ML)', 'Baked Pav Bhaji']"
19320,['Cappucino (250 ML)']
19321,"['Cafe Mocha (250 ML)', 'Double Restritto 44 Ml']"
19322,"['Americano (250 ML)', 'Kaapicino (250 ML)', 'South Indian Filter Kaapi (250 ML)', 'Papparoti (Plain)', 'ALMOND MILK (150 ML)']"
19323,"['Origanal South Indian Frappe (450 ML)', 'Rosella Cheesecake Berliner', 'Tartlets (chocolate Tartlet)', 'Calzones Veg (Calzone Paneer)']"
19324,"['Calzones Veg (Calzone Veg)', 'Almond Frappe (350 ML)', 'Cold Brew']"
19325,['Americano (250 ML)']
19326,"['Madagascar Chocochip Frappe (350 ML)', 'Choco-crinkle-cookies (COMBO 3 PCS)']"
19327,"['Cappucino (250 ML)', 'Americano (250 ML)', 'Origanal South Indian Frappe (350 ML)', 'Choco-crinkle-cookies (COMBO 6 PCS)']"
19328,"['Kaapicino (250 ML)', 'Papparoti (Plain)']"
19329,"['Iced Americano (450 ML)', 'Cafe Latte (350 ML)', 'Vanilla Praline (450 ML)']"
