Invoice No.,Item Name
20896,"['South Indian Filter Kaapi (150 ML)', 'Choco-crinkle-cookies (COMBO 3 PCS)', 'Cafe Latte (250 ML)']"
20897,"['ESPRESSO (30 ML)', 'South Indian Filter Kaapi (150 ML)', 'Baked Pav Bhaji', 'Baked Pav Bhaji']"
20898,"['Cappucino (250 ML)', 'Iced Latte (350 ML)']"
20899,"['Sea Salt Dark Mocha Frappe (350 ML)', 'Nariyal Irish Cream Frappe (350 ML)', 'Papparoti (Add On Nutella sauce)', 'Strawberry White Chocolate Ganache With Rosella Jam Macaroon', 'Cafe Latte (250 ML)']"
20900,"['Vietnamese (350 ML)', 'Vanilla Praline (350 ML)']"
20901,['Iced Mocha (350 ML)']
20902,['Berliners (Lotus Biscoff Berliner)']
20903,['South Indian Filter Kaapi (250 ML)']
20904,"['Hazelnut Frappe (350 ML)', 'Madagascar Chocochip Frappe (350 ML)']"
20905,['Americano (250 ML)']
20906,"['Vanilla Praline (350 ML)', 'Cappucino (250 ML)', 'OAT MILK (200 ML)']"
20907,['Malnad Tonic (choice Of Tonic)']
20908,['Americano (250 ML)']
20909,"['Origanal South Indian Frappe (350 ML)', 'Baked Vada Pav']"
20910,['Spicy Banana Chips 60 Gm']
20911,"['Baked Vada Pav', 'Origanal South Indian Frappe (350 ML)']"
20912,"['Kaapicino (250 ML)', 'Almond Honey Latte (250 ML)', 'Origanal South Indian Frappe (350 ML)', 'Papparoti (Plain)']"
20913,['Nariyal Irish Cream Frappe (350 ML)']
20914,"['Origanal South Indian Frappe (350 ML)', 'Baked Vada Pav']"
20915,['Spicy Banana Chips 60 Gm']
20916,['Classic Frappe (350 Ml)']
20917,['Madagascar Hot Chocolate (250 ML)']
20918,['Hot Chocolate (250 ML)']
20919,"['Nariyal Irish Cream Frappe (350 ML)', 'Sea Salt Dark Mocha (250 ML)', 'Mix Berliner 2 Pcs (Nutella Berliner)', 'Mix Berliner 2 Pcs (Blueberry Cheese Cake Berliner)', 'Papparoti (Plain)', 'South Indian Filter Kaapi (150 ML)']"
20920,['South Indian Filter Kaapi (250 ML)']
20921,['South Indian Filter Kaapi (150 ML)']
20922,"['Yellow Banana Chips 60 Gm', 'Tartlets (chocolate Tartlet)', 'Hot Chocolate (250 Ml)']"
20923,['Origanal South Indian Frappe (350 ML)']
20924,"['Classic Frappe (350 ML)', 'South Indian Filter Kaapi (250 ML)']"
20925,['Hot Chocolate (250 ML)']
20926,['Cappucino (250 ML)']
20927,"['Kaapicino (250 ML)', 'Origanal South Indian Frappe (350 ML)']"
20928,"['Cafe Latte (250 ML)', 'Madagascar Hot Chocolate (250 ML)', 'Baked Vada Pav']"
20929,"['Cafe Latte (250 ML)', 'Almond Honey Latte (250 ML)', 'Add On Syrup (Add On Caramel Syrup)', 'Madagascar Chocochip Frappe (350 ML)', 'ALMOND MILK (200 ML)', 'Hazelnut Frappe (350 ML)']"
20930,"['Classic Frappe (350 ML)', 'OAT MILK (150 ML)', 'Berliners (Nutella Berliner)', 'Strawberry White Chocolate Ganache With Rosella Jam Macaroon']"
20931,"['Madagascar Chocochip Frappe (350 ML)', 'Cappucino (250 ML)', 'Cafe Mocha (250 ML)', 'Iced Americano (350 ML)']"
20932,"['Origanal South Indian Frappe (450 ML)', 'Sea Salt Dark Mocha Frappe (350 ML)', 'Sea Salt Dark Mocha Frappe (450 ML)', 'Hyderabadi Soya Keema Pav', 'Madagascar Hot Chocolate (350 ML)', 'Madagascar Chocochip Frappe (450 ML)']"
20933,"['Papparoti (Add On Nutella sauce)', 'Hot Chocolate (250 ML)', 'Mix Berliner 2 Pcs (Lotus Biscoff Berliner)', 'Mix Berliner 2 Pcs (Nutella Berliner)', 'Mix Berliner 2 Pcs (Blueberry Cheese Cake Berliner)', 'Rosella Cheesecake Berliner']"
20934,['Hot Chocolate (250 ML)']
20935,"['Hazelnut Frappe (350 ML)', 'South Indian Filter Kaapi (150 ML)']"
20936,"['Sea Salt Dark Mocha Frappe (350 ML)', 'Origanal South Indian Frappe (350 ML)', 'Madagascar Hot Chocolate (250 ML)', 'Hyderabadi Chicken Keema Pav', 'Rosella Jam With Filter Coffee Ganache Macaroon (3 PCS)', 'Strawberry White Chocolate Ganache With Rosella Jam Macaroon']"
20937,"['Madagascar Chocochip Frappe (350 ML)', 'ALMOND MILK (200 ML)']"
20938,"['South Indian Filter Kaapi (150 ML)', 'Hot Chocolate (350 ML)', 'Baked Vada Pav']"
20939,['Malnad Tonic (choice Of Tonic)']
20940,"['Berliners (Dark Choco Mousse Berliner)', 'Hot Chocolate (250 ML)', 'Vietnamese (350 ML)']"
20941,"['Hazelnut Frappe (350 ML)', 'Vietnamese (350 ML)']"
20942,['Iced Latte (350 Ml)']
20943,['Hot Chocolate (250 Ml)']
20944,"['Cappucino (250 ML)', 'Hot Chocolate (250 ML)', 'Madagascar Chocochip Frappe (350 ML)']"
20945,"['Madagascar Chocochip Frappe (350 ML)', 'Iced Americano (350 ML)']"
20946,"['Papparoti (Add On Nutella sauce)', 'Baked Vada Pav', 'Hyderabadi Soya Keema Pav', 'Berliner Mix 3 Pcs (Lotus Biscoff Berliner)', 'Rosella Cheesecake Berliner', 'Tartlets (kodai cheese tartlet)', 'Cappucino (350 ML)']"
20947,['South Indian Filter Kaapi (250 ML)']
